city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Derby,Derby,52.9333,-1.5000,United Kingdom,GB,GBR,Derby,admin,,1826333435
Derry,Derry,55.0004,-7.3333,United Kingdom,GB,GBR,Derry and Strabane,admin,83652,1826603241
Doncaster,Doncaster,53.5333,-1.1167,United Kingdom,GB,GBR,Doncaster,admin,,1826979494
Dorchester,Dorchester,50.7167,-2.4333,United Kingdom,GB,GBR,Dorset,admin,,1826909037
Dover,Dover,51.1337,1.3000,United Kingdom,GB,GBR,Kent,,36384,1826963129
Downpatrick,Downpatrick,54.3269,-5.7113,United Kingdom,GB,GBR,"Newry, Mourne and Down",admin,,1826860584
Dudley,Dudley,52.5000,-2.0833,United Kingdom,GB,GBR,Dudley,admin,,1826052828
Dumbarton,Dumbarton,55.9500,-4.5667,United Kingdom,GB,GBR,West Dunbartonshire,admin,,1826077098
Dumfries,Dumfries,55.0671,-3.5500,United Kingdom,GB,GBR,Dumfries and Galloway,admin,31044,1826801547
Dundee,Dundee,56.4704,-3.0000,United Kingdom,GB,GBR,Dundee City,admin,151592,1826581481
Dungannon,Dungannon,54.5033,-6.7643,United Kingdom,GB,GBR,Mid Ulster,admin,,1826799961
Durham,Durham,54.7667,-1.5667,United Kingdom,GB,GBR,Durham,admin,,1826031748
Ealing,Ealing,51.4888,-0.3048,United Kingdom,GB,GBR,Ealing,admin,,1826730060
East Ham,East Ham,51.5333,0.0500,United Kingdom,GB,GBR,Newham,admin,,1826587417
Ebbw Vale,Ebbw Vale,51.7833,-3.2000,United Kingdom,GB,GBR,Blaenau Gwent,admin,,1826821223
Edinburgh,Edinburgh,55.9483,-3.2191,United Kingdom,GB,GBR,"Edinburgh, City of",admin,504966,1826492520
Elgin,Elgin,57.6500,-3.3333,United Kingdom,GB,GBR,Moray,admin,,1826386055
Enfield,Enfield,51.6667,-0.0667,United Kingdom,GB,GBR,Enfield,admin,,1826362409
Enniskillen,Enniskillen,54.3466,-7.6411,United Kingdom,GB,GBR,Fermanagh and Omagh,admin,,1826724326
Exeter,Exeter,50.7004,-3.5300,United Kingdom,GB,GBR,Devon,admin,113118,1826840903
Falkirk,Falkirk,56.0000,-3.7667,United Kingdom,GB,GBR,Falkirk,admin,,1826502864
Forfar,Forfar,56.6500,-2.8833,United Kingdom,GB,GBR,Angus,admin,,1826527188
Fort William,Fort William,56.8165,-5.1121,United Kingdom,GB,GBR,Highland,,9652,1826742184
Gateshead,Gateshead,54.9450,-1.6175,United Kingdom,GB,GBR,Gateshead,admin,,1826635849
Giffnock,Giffnock,55.8000,-4.2833,United Kingdom,GB,GBR,East Renfrewshire,admin,,1826874548
Glasgow,Glasgow,55.8744,-4.2507,United Kingdom,GB,GBR,Glasgow City,admin,1160000,1826836462
Glenrothes,Glenrothes,56.2000,-3.1833,United Kingdom,GB,GBR,Fife,admin,,1826270044
Gloucester,Gloucester,51.8333,-2.2500,United Kingdom,GB,GBR,Gloucestershire,admin,,1826932068
Grays,Grays,51.4833,0.3333,United Kingdom,GB,GBR,Thurrock,admin,,1826003493
Greenock,Greenock,55.9333,-4.7500,United Kingdom,GB,GBR,Inverclyde,admin,74635,1826864377
Grimsby,Grimsby,53.5333,-0.0500,United Kingdom,GB,GBR,North East Lincolnshire,admin,,1826700880
Hackney,Hackney,51.5500,-0.0500,United Kingdom,GB,GBR,Hackney,admin,,1826413202
Haddington,Haddington,55.9333,-2.7667,United Kingdom,GB,GBR,East Lothian,admin,,1826363081
Halifax,Halifax,53.7167,-1.8500,United Kingdom,GB,GBR,Calderdale,admin,,1826413776
Hamilton,Hamilton,55.7667,-4.0333,United Kingdom,GB,GBR,South Lanarkshire,admin,,1826692620
Hammersmith,Hammersmith,51.5000,-0.2333,United Kingdom,GB,GBR,Hammersmith and Fulham,admin,,1826090130
